product_id,product_name,category,brand,popularity_score,inventory_quantity,supplier_name,unit_price,cost_price,is_active
P000093,Snacks,Grocery,Nova,0.476,311,Vertex Imports,47320.54,11828.44,True
P000094,Tablet,Electronics,Prime,0.547,762,Global Supplies Ltd,6666.64,7015.48,True
P000095,Tennis Racket,Sports,Elite,0.674,510,Vertex Imports,45180.59,10511.43,True
P000096,Tea,Grocery,Nimbus,0.904,140,Retail Source India,35676.24,14139.86,True
P000097,Coffee,Grocery,Urban,0.538,248,Apex Manufacturing,21668.91,6956.89,True
P000098,Jeans,Fashion,Nova,0.805,881,Global Supplies Ltd,37274.53,4067.13,True
P000099,Tea,Grocery,EcoLife,0.711,1466,Apex Manufacturing,11948.58,3986.13,True
P000100,Cricket Bat,Sports,Elite,0.506,592,Prime Distribution,2831.27,18233.05,False
P000101,Face Wash,Beauty,Fusion,0.679,943,Global Supplies Ltd,15372.99,20590.87,False
P000102,Monitor,Electronics,EcoLife,0.217,1214,Global Supplies Ltd,5554.28,2405.49,True
P000103,Tennis Racket,Sports,Nova,0.748,1228,Prime Distribution,24331.05,15427.66,True
P000104,Lipstick,Beauty,Nova,0.482,800,Global Supplies Ltd,19355.1,7330.04,True
P000105,Yoga Mat,Sports,Zenith,0.736,721,Global Supplies Ltd,26419.37,20567.29,False
P000106,Perfume,Beauty,Urban,0.696,1353,Retail Source India,19152.29,29798.17,True
P000107,Cricket Bat,Sports,EcoLife,0.201,981,Prime Distribution,35755.33,4739.96,True
P000108,Tea,Grocery,EcoLife,0.323,1369,Vertex Imports,22426.69,18986.6,False
P000109,Table,Home,Apex,0.159,1056,Prime Distribution,36384.87,21372.03,True
P000110,Perfume,Beauty,Fusion,0.684,1065,Retail Source India,29241.02,29659.94,True
P000111,Tablet,Electronics,Urban,0.926,1244,Retail Source India,10300.54,13870.45,True
P000112,Jeans,Fashion,Apex,0.663,890,Apex Manufacturing,26390.07,21710.37,False
P000113,Shirt,Fashion,EcoLife,0.524,1006,Global Supplies Ltd,4291.65,9164.44,False
P000114,Phone,Electronics,Nimbus,0.78,823,Prime Distribution,49845.93,7505.87,True
P000115,Perfume,Beauty,Zenith,0.423,300,Global Supplies Ltd,36015.98,4084.35,True
P000116,Cricket Bat,Sports,Vision,0.45,961,Apex Manufacturing,24157.34,7296.53,True
P000117,Phone,Electronics,EcoLife,0.616,1212,Prime Distribution,41998.5,3276.55,True
P000118,Cream,Beauty,Prime,0.142,211,Prime Distribution,13204.8,1774.43,True
P000119,Shirt,Fashion,Nova,0.712,700,Vertex Imports,-1.0,988.95,True
P000120,Tea,Grocery,EcoLife,0.807,1163,Apex Manufacturing,20132.93,13774.52,False
P000121,Table,Home,Elite,0.56,27,Prime Distribution,39936.87,23169.58,True
P000122,Perfume,Beauty,Nova,0.185,1188,Global Supplies Ltd,14623.38,9420.5,True
P000123,Face Wash,Beauty,Nova,0.622,1462,Vertex Imports,-1.0,29748.11,False
P000124,Cap,Fashion,Fusion,0.759,312,Retail Source India,30997.94,20810.95,True
P000125,Phone,Electronics,Fusion,0.373,689,Prime Distribution,22671.85,9852.83,False
P000126,Laptop,Electronics,Prime,0.458,265,Prime Distribution,44842.32,8644.75,True
P000127,Tennis Racket,Sports,Zenith,0.813,209,Prime Distribution,18035.34,19795.89,True
P000128,Shirt,Fashion,EcoLife,0.812,339,Retail Source India,44139.83,408.57,True
P000129,Cricket Bat,Sports,Nova,0.737,235,Prime Distribution,10953.74,3856.34,True
P000130,Jeans,Fashion,Nimbus,0.2,1140,Apex Manufacturing,40002.9,12517.71,True
P000131,Table,Home,Nimbus,0.513,1129,Vertex Imports,15207.03,4701.02,True
P000132,Lamp,Home,Apex,0.729,305,Vertex Imports,26880.89,25099.94,True
P000133,Rice,Grocery,Zenith,0.445,157,Vertex Imports,18412.86,6829.59,True
P000134,Monitor,Electronics,Nova,0.73,778,Apex Manufacturing,31601.79,24374.59,True
P000135,Tablet,Electronics,Vision,0.717,837,Global Supplies Ltd,19223.42,783.99,False
P000136,Monitor,Electronics,Nimbus,0.801,254,Global Supplies Ltd,40747.68,24136.91,True
P000137,Coffee,Grocery,Fusion,0.898,1385,Retail Source India,7236.43,9148.03,False
P000138,Cricket Bat,Sports,Vision,0.489,92,Prime Distribution,13165.5,8463.07,True
P000139,Phone,Electronics,Elite,0.885,1151,Global Supplies Ltd,15671.32,28465.88,True
P000140,Headphones,Electronics,Vision,0.373,1302,Global Supplies Ltd,22302.22,17638.03,True
P000141,Shirt,Fashion,Nova,0.628,848,Global Supplies Ltd,28668.98,8282.97,True
P000142,Cricket Bat,Sports,Apex,0.713,1030,Apex Manufacturing,26375.7,2122.81,True
P000143,Phone,Electronics,Urban,0.763,798,Vertex Imports,15803.65,3798.04,True
P000144,Cricket Bat,Sports,Zenith,0.681,111,Apex Manufacturing,36309.63,868.28,True
P000145,Football,Sports,Nimbus,0.696,1256,Retail Source India,22543.9,18147.84,True
P000146,Lamp,Home,Vision,0.561,1259,Vertex Imports,4539.18,24483.82,False
P000147,Shirt,Fashion,Fusion,0.156,343,Apex Manufacturing,37977.97,13555.06,True
P000148,Headphones,Electronics,EcoLife,0.224,1001,Apex Manufacturing,12147.65,20579.08,True
P000149,Laptop,Electronics,EcoLife,0.683,1318,Vertex Imports,14836.6,23614.82,True
P000150,Shirt,Fashion,Nova,0.558,591,Global Supplies Ltd,3165.5,13252.33,False
P000151,Cricket Bat,Sports,EcoLife,0.552,1301,Retail Source India,40833.8,17748.71,True
P000152,Perfume,Beauty,Nova,0.844,504,Apex Manufacturing,40425.37,809.33,True
P000153,Tennis Racket,Sports,Nova,0.758,910,Apex Manufacturing,47489.24,22968.31,True
P000154,Coffee,Grocery,Nimbus,0.852,1219,Prime Distribution,40466.34,24485.4,True
P000155,Cricket Bat,Sports,Elite,0.873,151,Apex Manufacturing,5420.19,21119.35,False
P000156,Monitor,Electronics,Apex,0.69,348,Global Supplies Ltd,13475.67,8847.05,True
P000157,Jacket,Fashion,Fusion,0.596,465,Prime Distribution,11741.35,19876.28,True
P000158,Tea,Grocery,Fusion,0.94,701,Vertex Imports,47012.15,6902.91,True
P000159,Tennis Racket,Sports,Nova,0.792,1488,Prime Distribution,18073.64,27210.8,True
P000160,Shoes,Fashion,Nimbus,0.673,787,Apex Manufacturing,48999.34,6472.55,False
P000161,Rice,Grocery,Nimbus,0.614,934,Prime Distribution,5277.91,13660.18,True
P000162,Tennis Racket,Sports,Prime,0.476,1014,Prime Distribution,46461.81,5922.48,True
P000163,Cream,Beauty,Urban,0.915,498,Retail Source India,7756.35,14400.91,False
P000164,Cream,Beauty,Elite,0.466,160,Prime Distribution,13746.63,6062.71,True
P000165, Yoga Mat ,Sports,Fusion,0.591,68,Apex Manufacturing,392.59,10946.93,True
P000166,Yoga Mat,Sports,Urban,0.605,256,Global Supplies Ltd,44053.73,3686.98,True
P000167,Shirt,Fashion,Nimbus,0.659,384,Vertex Imports,37530.76,11824.69,False
P000168,Lamp,Home,EcoLife,0.729,917,Global Supplies Ltd,5171.05,8914.32,True
P000169,Jeans,Fashion,Vision,0.681,486,Vertex Imports,33104.46,14289.31,True
P000170,Tea,Grocery,Fusion,0.564,1194,Prime Distribution,18169.58,3827.99,True
P000171,Shirt,Fashion,Prime,0.559,109,Global Supplies Ltd,2490.73,2452.12,True
P000172,Juice,Grocery,Nova,0.285,669,Apex Manufacturing,3782.6,2158.88,False
P000173,Sofa,Home,Apex,0.913,1276,Retail Source India,4186.84,28429.39,True
P000174,Laptop,Electronics,EcoLife,0.634,1341,Prime Distribution,26589.7,9123.51,False
P000175,Lipstick,Beauty,EcoLife,0.813,979,Prime Distribution,9912.44,27968.42,True
P000176,Phone,Electronics,Apex,0.643,1011,Apex Manufacturing,47439.51,7388.11,False
P000177,Cap,Fashion,Fusion,0.266,283,Prime Distribution,49392.51,23174.4,True
P000178,Chair,Home,,0.757,1077,Apex Manufacturing,41115.17,3690.85,False
P000179,Tablet,Electronics,Vision,0.798,318,Prime Distribution,20731.65,22949.08,False
P000180,Perfume,Beauty,EcoLife,0.405,1281,Retail Source India,29593.64,12444.12,False
P000181,Football,Sports,Vision,0.363,1182,Global Supplies Ltd,35679.55,22038.47,True
P000182,Shirt,Fashion,EcoLife,0.365,1300,Apex Manufacturing,40271.66,27349.7,True
P000183,Yoga Mat,Sports,Vision,0.604,532,Retail Source India,42301.15,17051.73,True
P000184,Table,Home,Nimbus,0.575,526,Vertex Imports,15134.11,15631.07,True
P000185,Tea,Grocery,EcoLife,0.588,231,Global Supplies Ltd,3811.84,23505.45,True
P000186,Chair,Home,Apex,0.177,1449,Retail Source India,1323.64,16879.76,False
P000187,Headphones,Electronics,Urban,0.733,1216,Global Supplies Ltd,38569.08,27299.9,True
P000188,Cricket Bat,Sports,Nimbus,0.236,729,Retail Source India,4988.65,4600.72,True
P000189,Yoga Mat,Sports,Zenith,0.385,844,Prime Distribution,44327.59,29000.44,False
P000190,Rice,Grocery,Prime,0.406,1041,Vertex Imports,3715.77,23899.31,True
P000191,Cream,Beauty,Nimbus,0.676,1002,Apex Manufacturing,38501.14,21658.44,True
P000192,Face Wash,Beauty,Zenith,0.813,646,Vertex Imports,3465.66,28852.03,True
P000193,Shoes,Fashion,Apex,0.724,150,Global Supplies Ltd,24026.27,6536.31,False
P000194,Football,Sports,EcoLife,0.582,727,Apex Manufacturing,47896.3,13917.34,False
P000195,Laptop,Electronics,Urban,0.889,597,Prime Distribution,10343.79,967.34,True
P000196,Perfume,Beauty,Fusion,0.898,65,Retail Source India,35001.32,17362.19,True
P000197,Rice,Grocery,EcoLife,0.354,955,Prime Distribution,48081.27,25164.89,True
P000198,Laptop,Electronics,Zenith,0.724,1068,Retail Source India,10215.87,5194.36,False
P000199, Lamp ,Home,Urban,0.762,595,Retail Source India,17511.89,5557.57,False
P000200,Chair,Home,Nimbus,0.597,46,Retail Source India,14816.84,16365.86,True
P000201,Rice,Grocery,Prime,0.621,1429,Apex Manufacturing,38125.42,6319.75,False
P000202,Shirt,Fashion,Nimbus,0.747,670,Vertex Imports,16667.64,20548.72,True
P000203,Monitor,Electronics,Elite,0.197,235,Retail Source India,15248.37,16156.1,True
P000204,Rice,Grocery,Fusion,0.829,425,Global Supplies Ltd,741.96,12579.33,False
P000205,Chair,Home,Urban,0.21,1339,Retail Source India,11622.6,21176.41,True
P000206,Rice,Grocery,Prime,0.829,1310,Vertex Imports,9954.82,13734.05,True
P000207,Perfume,Beauty,Fusion,0.765,289,Retail Source India,1603.78,18204.03,False
P000208,Coffee,Grocery,Elite,0.58,873,Retail Source India,19336.8,16766.65,True
P000209,Phone,Electronics,Nova,0.461,570,Vertex Imports,3307.45,614.85,True
P000210,Cricket Bat,Sports,Nimbus,0.606,62,Retail Source India,14440.98,23673.93,True
P000211,Perfume,Beauty,Urban,0.746,194,Apex Manufacturing,20420.12,4323.9,False
P000212,Rice,Grocery,Nova,0.674,605,Global Supplies Ltd,6038.86,231.83,True
P000213,Tea,Grocery,Fusion,0.69,1444,Apex Manufacturing,5025.9,21579.19,True
P000214,Phone,Electronics,Prime,0.736,762,Prime Distribution,34936.73,20904.61,True
P000215,Juice,Grocery,EcoLife,0.876,664,Retail Source India,41888.92,5833.54,False
P000216,Coffee,Grocery,Apex,0.445,555,Global Supplies Ltd,47736.88,25532.46,True
P000217,Yoga Mat,Sports,Prime,0.879,1385,Prime Distribution,29831.14,1449.35,True
P000218,Laptop,Electronics,Urban,0.769,664,Vertex Imports,25376.46,13090.29,True
P000219,Cricket Bat,Sports,EcoLife,0.656,362,Apex Manufacturing,2114.8,2519.56,False
P000220,Jeans,Fashion,Nova,0.915,40,Vertex Imports,45432.95,10794.39,True
P000221,Juice,Grocery,Zenith,0.33,1113,Apex Manufacturing,3463.61,26670.96,True
P000222,Chair,Home,Vision,0.545,1438,Vertex Imports,47985.25,23056.61,True
P000223,Face Wash,Beauty,Nova,0.516,722,Retail Source India,20397.58,9669.2,False
P000224,Lipstick,Beauty,Elite,0.317,385,Apex Manufacturing,49473.01,23934.56,True
P000225,Headphones,Electronics,Urban,0.608,292,Apex Manufacturing,43715.05,9787.9,True
P000226,Monitor,Electronics,Nova,0.654,730,Retail Source India,28564.96,27351.33,True
P000227,Monitor,Electronics,Prime,0.397,420,Prime Distribution,19007.89,15674.55,False
P000228,Laptop,Electronics,EcoLife,0.411,939,Apex Manufacturing,34069.86,2156.92,True
P000229,Headphones,Electronics,Zenith,0.482,216,Global Supplies Ltd,37410.28,21929.15,False
P000230,Face Wash,Beauty,Nimbus,0.34,215,Vertex Imports,34826.99,28054.49,True
P000231,Sofa,Home,Zenith,0.755,1063,Vertex Imports,44137.49,4408.74,True
P000232,Tea,Grocery,EcoLife,0.818,1048,Apex Manufacturing,25675.22,3192.16,True
P000233,Shelf,Home,Zenith,0.563,497,Global Supplies Ltd,35617.04,26901.52,True
P000234,Rice,Grocery,Vision,0.625,582,Retail Source India,29161.38,18371.0,True
P000235,Shirt,Fashion,Apex,0.824,634,Vertex Imports,5604.93,28892.17,False
P000236,Cricket Bat,Sports,Prime,0.753,277,Apex Manufacturing,32048.45,27791.24,True
P000237,Rice,Grocery,Zenith,0.799,1163,Global Supplies Ltd,34499.53,978.23,True
P000238,Table,Home,EcoLife,0.423,1251,Retail Source India,16536.55,18818.91,True
P000239,Yoga Mat,Sports,Nimbus,0.91,745,Retail Source India,42768.09,13540.66,True
P000240,Coffee,Grocery,Fusion,0.715,1130,Global Supplies Ltd,18982.99,15811.12,True
P000241,Shoes,Fashion,Zenith,0.806,1420,Prime Distribution,2933.78,13313.56,True
P000242,Snacks,Grocery,Zenith,0.899,192,Prime Distribution,15883.52,814.94,True
P000243,Cricket Bat,Sports,Vision,0.558,320,Prime Distribution,9618.29,21479.12,True
P000244,Shirt,Fashion,Vision,0.571,1203,Retail Source India,17069.37,28620.36,True
P000245,Juice,Grocery,Prime,0.436,283,Apex Manufacturing,15821.54,4800.73,True
P000246,Shoes,Fashion,Urban,0.787,583,Retail Source India,22579.47,7911.33,True
P000247,Chair,Home,Prime,0.454,987,Apex Manufacturing,3834.35,12745.23,True
P000248,Tablet,Electronics,Urban,0.507,705,Apex Manufacturing,49336.06,1304.95,True
P000249,Laptop,Electronics,Elite,0.609,150,Prime Distribution,20963.02,9309.59,True
P000250,Perfume,Beauty,Zenith,0.782,227,Prime Distribution,5477.9,16933.37,True
P000251,Rice,Grocery,Nova,0.807,665,Global Supplies Ltd,21936.21,12186.37,True
P000252,Shelf,Home,EcoLife,0.707,1343,Global Supplies Ltd,18297.42,8916.39,False
P000253,Lipstick,Beauty,Vision,0.718,525,Vertex Imports,18548.87,24347.79,True
P000254,Cream,Beauty,Prime,0.915,434,Vertex Imports,21492.32,15016.69,False
P000255,Lipstick,Beauty,Apex,0.865,443,Prime Distribution,32343.68,14670.35,True
P000256,Lipstick,Beauty,Nova,0.468,841,Global Supplies Ltd,1558.66,5379.4,True
P000257,Cricket Bat,Sports,Prime,0.889,868,Retail Source India,966.86,28411.03,True
P000258,Chair,Home,Zenith,0.549,690,Global Supplies Ltd,20080.51,13764.45,True
P000259,Cricket Bat,Sports,Zenith,0.176,1477,Global Supplies Ltd,47813.67,20362.55,True
P000260,Laptop,Electronics,Nimbus,0.81,517,Vertex Imports,30618.91,13740.02,False
P000261,Shelf,Home,Fusion,0.398,151,Retail Source India,32487.77,20591.72,True
P000262,Lipstick,Beauty,Elite,0.752,322,Retail Source India,46001.25,23506.74,True
P000263,Laptop,Electronics,Urban,0.436,983,Global Supplies Ltd,8064.81,27593.35,True
P000264,Monitor,Electronics,Prime,0.834,1046,Prime Distribution,32653.15,13361.92,True
P000265,Table,Home,Nova,0.508,1270,Retail Source India,16275.11,22073.38,False
P000266,Shelf,Home,Prime,0.253,396,Prime Distribution,8023.09,19824.0,True
P000267,Monitor,Electronics,Prime,0.579,1181,Retail Source India,2745.49,8769.53,False
P000268,Coffee,Grocery,EcoLife,0.671,281,Vertex Imports,24604.37,443.57,False
P000269,Snacks,Grocery,Fusion,0.836,543,Apex Manufacturing,7866.01,18847.43,True
P000270,Table,Home,Vision,0.599,953,Vertex Imports,23516.75,16446.28,True
P000271,Phone,Electronics,Nimbus,0.476,651,Apex Manufacturing,23458.33,23274.31,True
P000272,Football,Sports,Nimbus,0.635,1242,Apex Manufacturing,47679.44,4636.94,True
P000273,Table,Home,Nova,0.78,279,Retail Source India,39852.78,4441.5,False
P000274,Juice,Grocery,Fusion,0.464,896,Global Supplies Ltd,165.36,5916.46,False
P000275,Tablet,Electronics,Fusion,0.199,792,Apex Manufacturing,27183.16,366.71,True
P000276,Headphones,Electronics,Fusion,0.551,966,Retail Source India,41921.87,19097.52,True
P000277,Cricket Bat,Sports,Vision,0.844,356,Vertex Imports,6763.45,20557.13,True
P000278,Shoes,Fashion,Apex,0.285,816,Global Supplies Ltd,4328.57,18137.71,True
P000279,Perfume,Beauty,Zenith,0.093,1438,Global Supplies Ltd,23616.93,20779.57,False
P000280,Yoga Mat,Sports,Elite,0.544,80,Apex Manufacturing,23420.23,3148.64,True
P000281,Yoga Mat,Sports,Nova,0.485,460,Apex Manufacturing,48754.59,17390.49,False
P000282,Cream,Beauty,Prime,0.707,601,Apex Manufacturing,4253.55,1658.57,True
P000283,Laptop,Electronics,Nimbus,0.867,104,Apex Manufacturing,2644.71,3228.75,True
P000284,Headphones,Electronics,Nova,0.548,304,Vertex Imports,33289.68,16982.11,True
P000285,Juice,Grocery,Vision,0.734,1265,Prime Distribution,1735.33,408.06,True
P000286,Face Wash,Beauty,Zenith,0.542,1278,Retail Source India,23721.21,19470.25,True
P000287,Rice,Grocery,Nimbus,0.58,1218,Apex Manufacturing,37433.49,7669.43,True
P000288,Shirt,Fashion,Nimbus,0.763,528,Prime Distribution,2902.2,2547.25,True
P000289,Phone,Electronics,Vision,0.591,80,Vertex Imports,4736.49,26947.24,True
P000290,Table,Home,Nimbus,0.765,909,Apex Manufacturing,39831.45,11894.32,False
P000291,Cricket Bat,Sports,Fusion,0.765,9,Retail Source India,16079.51,14917.31,True
P000292,Cricket Bat,Sports,Nova,0.782,1066,Vertex Imports,30807.31,11760.02,True
P000293,Shirt,Fashion,Nimbus,0.202,119,Prime Distribution,47804.53,23919.07,False
P000294,Chair,Home,Nova,0.719,909,Vertex Imports,13350.11,852.94,False
P000295,Chair,Home,Urban,0.764,649,Prime Distribution,48703.31,22112.29,True
P000296,Monitor,Electronics,Elite,0.728,116,Retail Source India,18660.05,20804.8,True
P000297,Perfume,Beauty,Fusion,0.844,1248,Retail Source India,33448.77,21820.53,True
P000298,Chair,Home,Urban,0.797,843,Global Supplies Ltd,25054.0,6328.86,False
P000299,Tea,Grocery,Apex,0.729,1089,Global Supplies Ltd,43891.46,1244.5,True
P000300,Lamp,Home,Fusion,0.47,708,Retail Source India,48393.5,14885.44,True
P000301,Phone,Electronics,Urban,0.494,335,Retail Source India,25900.38,26536.9,False
P000302,Face Wash,Beauty,Nimbus,0.356,131,Vertex Imports,23576.97,20508.51,True
P000303,Cricket Bat,Sports,Nova,0.493,1195,Prime Distribution,46780.22,28754.4,False
P000304,Tea,Grocery,Apex,0.724,369,Global Supplies Ltd,13186.3,2401.75,True
P000305, Cricket Bat ,Sports,Nova,0.787,704,Prime Distribution,31112.59,26916.82,False
